"Datum","Tijd","Tijdzone","Naam","Type","Status","Valuta","Bedrag","Kosten","Totaal","Wisselkoers","Ontvangstbewijsreferentie","Saldo","Transactiereferentie","Objecttitel"
"09-09-2025","02:47:50","CEST","Microsoft Payments","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-11,99","0,00","-11,99",,"","-11,99","5V337475MK673644P",""
"09-09-2025","02:47:50","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","11,99","0,00","11,99",,"","0,00","8UK57587W65379944",""
"12-09-2025","17:26:42","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-5,99","0,00","-5,99",,"","-5,99","0YN4077784730322X",""
"12-09-2025","17:26:42","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","5,99","0,00","5,99",,"","0,00","6BC599396N321491V",""
"14-09-2025","22:36:57","CEST","Meta Platforms Technologies Ireland Limited","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-10,99","0,00","-10,99",,"","-10,99","2YY07255C0444333Y",""
"14-09-2025","22:36:57","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","10,99","0,00","10,99",,"","0,00","67A253022T723334N",""
"22-09-2025","08:56:47","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-9,99","0,00","-9,99",,"","-9,99","914024283X1097447",""
"22-09-2025","08:56:47","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","9,99","0,00","9,99",,"","0,00","8S398006M1786193B",""
"22-09-2025","19:03:11","CEST","Epoch.com, LLC","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,52","0,00","-22,52",,"","-22,52","8RV818802D3253103",""
"22-09-2025","19:03:11","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,52","0,00","22,52",,"","0,00","0SJ04256FA5898351",""
"23-09-2025","12:36:04","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-2,99","0,00","-2,99",,"","-2,99","3T876740GG5348319",""
"23-09-2025","12:36:04","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","2,99","0,00","2,99",,"","0,00","1EE597687W3197622",""
"25-09-2025","09:41:41","CEST","www.steampowered.com","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-24,99","0,00","-24,99",,"","-24,99","08H122068R549214W",""
"25-09-2025","09:41:41","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","24,99","0,00","24,99",,"","0,00","97T84090RA295413T",""
"27-09-2025","17:25:53","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-5,99","0,00","-5,99",,"","-5,99","0VY56822AR632493T",""
"27-09-2025","17:25:53","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","5,99","0,00","5,99",,"","0,00","95L91781CG0732143",""
"30-09-2025","09:01:28","CEST","www.steampowered.com","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-3,99","0,00","-3,99",,"","-3,99","6GH72638A4600702D",""
"30-09-2025","09:01:28","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","3,99","0,00","3,99",,"","0,00","8VX533119L526473J",""
"09-10-2025","03:05:26","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,28","0,00","-22,28",,"","-22,28","1CV753424A257202K",""
"09-10-2025","03:05:26","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,28","0,00","22,28",,"","0,00","6AG519437S665242P",""
"09-10-2025","11:12:42","CEST","Microsoft Payments","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-11,99","0,00","-11,99",,"","-11,99","28F82324TL119440K",""
"09-10-2025","11:12:42","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","11,99","0,00","11,99",,"","0,00","1LP99709S07769924",""
"22-10-2025","08:56:32","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-9,99","0,00","-9,99",,"","-9,99","6E823277GJ123741D",""
"22-10-2025","08:56:32","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","9,99","0,00","9,99",,"","0,00","0UY95194PJ850911K",""
"23-10-2025","12:35:34","CEST","Apple Services","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-2,99","0,00","-2,99",,"","-2,99","2VB24911X9392624M",""
"23-10-2025","12:35:34","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","2,99","0,00","2,99",,"","0,00","09F04215V5349643F",""
"24-10-2025","12:38:04","CEST","Epoch.com, LLC","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-22,52","0,00","-22,52",,"","-22,52","5GF1025888852650J",""
"24-10-2025","12:38:04","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","22,52","0,00","22,52",,"","0,00","8VV64891YS8106717",""
